ZIP Code,Territory,TNT,UDS Zone
61377,Peru,1 Day ,6
61739,Peru,1 Day ,6
61356,Peru,1 Day ,6
61368,Peru,1 Day ,6
61358,Peru,1 Day ,6
61726,Peru,1 Day ,6
61560,Peru,1 Day ,6
61336,Peru,1 Day ,6
61327,Peru,1 Day ,6
61537,Peru,1 Day ,6
61728,Peru,1 Day ,6
61760,Peru,1 Day ,6
61369,Peru,1 Day ,6
61375,Peru,1 Day ,6
61776,Peru,1 Day ,6
61516,Peru,1 Day ,6
61724,Peru,1 Day ,6
61761,Peru,1 Day ,6
61744,Peru,1 Day ,6
61853,Peru,1 Day ,6
61752,Peru,1 Day ,6
61748,Peru,1 Day ,6
61570,Peru,1 Day ,6
61854,Peru,1 Day ,6
61738,Peru,1 Day ,6
61565,Peru,1 Day ,6
61704,Peru,1 Day ,6
61842,Peru,1 Day ,6
61790,Peru,1 Day ,6
61771,Peru,1 Day ,6
61361,Peru,1 Day ,6
61443,Peru,1 Day ,6
61434,Peru,1 Day ,6
61449,Peru,1 Day ,6
61489,Peru,1 Day ,6
61483,Peru,1 Day ,6
61540,Peru,1 Day ,6
61421,Peru,1 Day ,6
61545,Peru,1 Day ,6
61735,Peru,1 Day ,6
61561,Peru,1 Day ,6
61729,Peru,1 Day ,6
61725,Peru,1 Day ,6
61701,Peru,1 Day ,6
61530,Peru,1 Day ,6
61611,Peru,1 Day ,6
61479,Peru,1 Day ,6
61491,Peru,1 Day ,6
61705,Peru,1 Day ,6
61736,Peru,1 Day ,6
61742,Peru,1 Day ,6
61571,Peru,1 Day ,6
61523,Peru,1 Day ,6
61526,Peru,1 Day ,6
61548,Peru,1 Day ,6
61745,Peru,1 Day ,6
61733,Peru,1 Day ,6
61772,Peru,1 Day ,6
61635,Peru,1 Day ,6
61616,Peru,1 Day ,6
61525,Peru,1 Day ,6
61777,Peru,1 Day ,6
61614,Peru,1 Day ,6
61754,Peru,1 Day ,6
61603,Peru,1 Day ,6
61606,Peru,1 Day ,6
61559,Peru,1 Day ,6
61451,Peru,1 Day ,6
61529,Peru,1 Day ,6
61572,Peru,1 Day ,6
61531,Peru,1 Day ,6
61625,Peru,1 Day ,6
61550,Peru,1 Day ,6
61615,Peru,1 Day ,6
61528,Peru,1 Day ,6
62526,Peru,1 Day ,6
61755,Peru,1 Day ,6
61602,Peru,1 Day ,6
61604,Peru,1 Day ,6
61605,Peru,1 Day ,6
61610,Peru,1 Day ,6
61535,Peru,1 Day ,6
62554,Peru,1 Day ,6
61727,Peru,1 Day ,6
61747,Peru,1 Day ,6
61517,Peru,1 Day ,6
61536,Peru,1 Day ,6
61569,Peru,1 Day ,6
61723,Peru,1 Day ,6
61547,Peru,1 Day ,6
61607,Peru,1 Day ,6
61756,Peru,1 Day ,6
61568,Peru,1 Day ,6
61554,Peru,1 Day ,6
62535,Peru,1 Day ,6
62521,Peru,1 Day ,6
62522,Peru,1 Day ,6
61734,Peru,1 Day ,6
62656,Peru,1 Day ,6
61533,Peru,1 Day ,6
62643,Peru,1 Day ,6
62635,Peru,1 Day ,6
61534,Peru,1 Day ,6
61546,Peru,1 Day ,6
61524,Peru,1 Day ,6
61520,Peru,1 Day ,6
61542,Peru,1 Day ,6
61543,Peru,1 Day ,6
61567,Peru,1 Day ,6
62644,Peru,1 Day ,6
62548,Peru,1 Day ,6
62682,Peru,1 Day ,6
61532,Peru,1 Day ,6
62634,Peru,1 Day ,6
62539,Peru,1 Day ,6
62666,Peru,1 Day ,6
62633,Peru,1 Day ,6
62693,Peru,1 Day ,6
62684,Peru,1 Day ,6
62664,Peru,1 Day ,6
62642,Peru,1 Day ,6
62561,Peru,1 Day ,6
62707,Peru,1 Day ,6
62701,Peru,1 Day ,6
62675,Peru,1 Day ,6
62702,Peru,1 Day ,6
62703,Peru,1 Day ,6
62704,Peru,1 Day ,6
62711,Peru,1 Day ,6
62712,Peru,1 Day ,6
62670,Peru,1 Day ,6
61299,Peru,1 Day ,6
61204,Peru,1 Day ,6
61266,Peru,1 Day ,6
61278,Peru,1 Day ,6
61276,Peru,1 Day ,6
61236,Peru,1 Day ,6
61233,Peru,1 Day ,6
61439,Peru,1 Day ,6
61402,Peru,1 Day ,6
61416,Peru,1 Day ,6
61553,Peru,1 Day ,6
62651,Peru,1 Day ,6
61232,Peru,1 Day ,6
61264,Peru,1 Day ,6
61201,Peru,1 Day ,6
61244,Peru,1 Day ,6
61256,Peru,1 Day ,6
61239,Peru,1 Day ,6
61282,Peru,1 Day ,6
61242,Peru,1 Day ,6
61252,Peru,1 Day ,6
61265,Peru,1 Day ,6
61263,Peru,1 Day ,6
61240,Peru,1 Day ,6
61257,Peru,1 Day ,6
61275,Peru,1 Day ,6
61281,Peru,1 Day ,6
61241,Peru,1 Day ,6
61486,Peru,1 Day ,6
61273,Peru,1 Day ,6
61274,Peru,1 Day ,6
61468,Peru,1 Day ,6
61465,Peru,1 Day ,6
61262,Peru,1 Day ,6
61413,Peru,1 Day ,6
61490,Peru,1 Day ,6
61238,Peru,1 Day ,6
61488,Peru,1 Day ,6
61414,Peru,1 Day ,6
61423,Peru,1 Day ,6
61430,Peru,1 Day ,6
61410,Peru,1 Day ,6
61467,Peru,1 Day ,6
61473,Peru,1 Day ,6
61401,Peru,1 Day ,6
61448,Peru,1 Day ,6
61438,Peru,1 Day ,6
61470,Peru,1 Day ,6
61474,Peru,1 Day ,6
61422,Peru,1 Day ,6
61455,Peru,1 Day ,6
61544,Peru,1 Day ,6
61432,Peru,1 Day ,6
61431,Peru,1 Day ,6
61427,Peru,1 Day ,6
61519,Peru,1 Day ,6
61477,Peru,1 Day ,6
61441,Peru,1 Day ,6
