1,2,6,12,13,14,15,16,17,18,19
Zip 5,DAS/EDAS,State,"Zone from CHAR HUB
1816 W POINTE DR
Charlotte, NC 28214
to LS Serviceable Zip","Zone from ORLA HUB
2900 TITAN ROW
Orlando, FL 32809
to LS Serviceable Zip","Zone from SBSC HUB
2270 US HIGHWAY 130
EAST BRUNSWICK, NJ 08810
to LS Serviceable Zip","Zone from URBOH HUB
2950 TOY RD
Groveport, OH 43125
to LS Serviceable Zip","TNT from CHAR HUB
to LS Serviceable Zip","TNT from ORLA HUB
to LS Serviceable Zip","TNT from SBSC HUB
to LS Serviceable Zip","TNT from URBOH HUB
to LS Serviceable Zip"
01105,-,MA,5,6,2,4,2,3,1,2
01106,-,MA,5,6,2,4,2,3,1,2
01109,-,MA,5,6,2,4,2,3,1,2
01201,-,MA,5,6,2,4,2,3,1,2
01247,-,MA,5,6,2,4,2,3,1,2
01267,DAS,MA,5,6,2,4,2,3,1,2
01420,-,MA,5,6,3,5,2,3,1,2
01432,-,MA,5,6,3,5,2,3,1,2
01450,-,MA,5,6,3,5,2,3,1,2
01451,-,MA,5,6,3,5,2,3,1,2
01453,-,MA,5,6,3,5,2,3,1,2
01463,-,MA,5,6,3,5,2,3,1,2
01470,-,MA,5,6,3,5,2,3,1,2
01471,-,MA,5,6,3,5,2,3,1,2
01503,DAS,MA,5,6,3,5,2,3,1,2
01505,DAS,MA,5,6,3,5,2,3,1,2
01506,DAS,MA,5,6,3,5,2,3,1,2
01507,DAS,MA,5,6,3,5,2,3,1,2
01510,-,MA,5,6,3,5,2,3,1,2
01515,DAS,MA,5,6,3,5,2,3,1,2
01520,-,MA,5,6,3,5,2,3,1,2
01522,DAS,MA,5,6,3,5,2,3,1,2
01523,DAS,MA,5,6,3,5,2,3,1,2
01524,-,MA,5,6,3,5,2,3,1,2
01537,-,MA,5,6,3,5,2,3,1,2
01542,-,MA,5,6,3,5,2,3,1,2
01546,-,MA,5,6,3,5,2,3,1,2
01550,-,MA,5,6,3,5,2,3,1,2
01562,-,MA,5,6,3,5,2,3,1,2
01564,-,MA,5,6,3,5,2,3,1,2
01566,DAS,MA,5,6,3,5,2,3,1,2
01571,-,MA,5,6,3,5,2,3,1,2
