zipcode,sortcode,carrier,service,max_weight,shipper_id,options.injectionName,options.injectionAddress.address1,options.injectionAddress.city,options.injectionAddress.state,options.injectionAddress.zip,options.injectionAddress.country
73129,,LSO,Ecom,2400,,,,,,,
73130,,LSO,Ecom,2400,,,,,,,
73131,,LSO,Ground,2400,,,,,,,
73132,,LSO,Ecom,2400,,,,,,,
73134,,LSO,Ground,2400,,,,,,,
73135,,LSO,Ecom,2400,,,,,,,
73137,,LSO,Ground,2400,,,,,,,
73139,,LSO,Ecom,2400,,,,,,,
73141,,LSO,Ground,2400,,,,,,,
73142,,LSO,Ecom,2400,,,,,,,
73144,,LSO,Ground,2400,,,,,,,
73145,,LSO,Ground,2400,,,,,,,
73146,,LSO,Ground,2400,,,,,,,
73149,,LSO,Ecom,2400,,,,,,,
73150,,LSO,Ground,2400,,,,,,,
73151,,LSO,Ecom,2400,,,,,,,
73153,,LSO,Ground,2400,,,,,,,
73154,,LSO,Ground,2400,,,,,,,
73159,,LSO,Ecom,2400,,,,,,,
73160,,LSO,Ecom,2400,,,,,,,
73162,,LSO,Ecom,2400,,,,,,,
73165,,LSO,Ground,2400,,,,,,,
73169,,LSO,Ground,2400,,,,,,,
73170,,LSO,Ecom,2400,,,,,,,
73173,,LSO,Ground,2400,,,,,,,
73179,,LSO,Ecom,2400,,,,,,,
73194,,LSO,Ground,2400,,,,,,,
73301,,LSO,Ground,2400,,,,,,,
73401,,LSO,Ground,2400,,,,,,,
73448,,LSO,Ground,2400,,,,,,,
73453,,LSO,Ground,2400,,,,,,,
73459,,LSO,Ground,2400,,,,,,,
73501,,LSO,Ground,2400,,,,,,,
73503,,LSO,Ground,2400,,,,,,,
73505,,LSO,Ground,2400,,,,,,,
73507,,LSO,Ground,2400,,,,,,,
73521,,LSO,Ground,2400,,,,,,,
73523,,LSO,Ground,2400,,,,,,,
73527,,LSO,Ground,2400,,,,,,,
73528,,LSO,Ground,2400,,,,,,,
73533,,LSO,Ground,2400,,,,,,,
73536,,LSO,Ground,2400,,,,,,,
73539,,LSO,Ground,2400,,,,,,,
73540,,LSO,Ground,2400,,,,,,,
73543,,LSO,Ground,2400,,,,,,,
73557,,LSO,Ground,2400,,,,,,,
73701,,LSO,Ground,2400,,,,,,,
73703,,LSO,Ground,2400,,,,,,,
73705,,LSO,Ground,2400,,,,,,,
73931,,LSO,Ground,2400,,,,,,,
73932,,LSO,Ground,2400,,,,,,,
73933,,LSO,Ground,2400,,,,,,,
73937,,LSO,Ground,2400,,,,,,,
73938,,LSO,Ground,2400,,,,,,,
73939,,LSO,Ground,2400,,,,,,,
73942,,LSO,Ground,2400,,,,,,,
73944,,LSO,Ground,2400,,,,,,,
73945,,LSO,Ground,2400,,,,,,,
73946,,LSO,Ground,2400,,,,,,,
73947,,LSO,Ground,2400,,,,,,,
73949,,LSO,Ground,2400,,,,,,,
73950,,LSO,Ground,2400,,,,,,,
73951,,LSO,Ground,2400,,,,,,,
74003,,LSO,Ground,2400,,,,,,,
74004,,LSO,Ground,2400,,,,,,,
74006,,LSO,Ground,2400,,,,,,,
74008,,LSO,Ecom,2400,,,,,,,
74011,,LSO,Ecom,2400,,,,,,,
74012,,LSO,Ecom,2400,,,,,,,
74014,,LSO,Ecom,2400,,,,,,,
74015,,LSO,Ground,2400,,,,,,,
74017,,LSO,Ground,2400,,,,,,,
74019,,LSO,Ecom,2400,,,,,,,
74021,,LSO,Ecom,2400,,,,,,,
74029,,LSO,Ground,2400,,,,,,,
74033,,LSO,Ecom,2400,,,,,,,
74037,,LSO,Ecom,2400,,,,,,,
74050,,LSO,Ground,2400,,,,,,,
74051,,LSO,Ground,2400,,,,,,,
74055,,LSO,Ecom,2400,,,,,,,
74061,,LSO,Ground,2400,,,,,,,
74063,,LSO,Ecom,2400,,,,,,,
74066,,LSO,Ecom,2400,,,,,,,
74070,,LSO,Ecom,2400,,,,,,,
74073,,LSO,Ground,2400,,,,,,,
74074,,LSO,Ground,2400,,,,,,,
74075,,LSO,Ground,2400,,,,,,,
74077,,LSO,Ground,2400,,,,,,,
74078,,LSO,Ground,2400,,,,,,,
74101,,LSO,Ground,2400,,,,,,,
74102,,LSO,Ground,2400,,,,,,,
74103,,LSO,Ground,2400,,,,,,,
74104,,LSO,Ecom,2400,,,,,,,
74105,,LSO,Ecom,2400,,,,,,,
74106,,LSO,Ecom,2400,,,,,,,
74107,,LSO,Ecom,2400,,,,,,,
74108,,LSO,Ecom,2400,,,,,,,
74110,,LSO,Ecom,2400,,,,,,,
74112,,LSO,Ecom,2400,,,,,,,
74114,,LSO,Ecom,2400,,,,,,,
74115,,LSO,Ecom,2400,,,,,,,
74116,,LSO,Ecom,2400,,,,,,,
74117,,LSO,Ground,2400,,,,,,,
74119,,LSO,Ground,2400,,,,,,,
74120,,LSO,Ground,2400,,,,,,,
74121,,LSO,Ground,2400,,,,,,,
74126,,LSO,Ecom,2400,,,,,,,
74127,,LSO,Ecom,2400,,,,,,,
74128,,LSO,Ecom,2400,,,,,,,
74129,,LSO,Ecom,2400,,,,,,,
74130,,LSO,Ground,2400,,,,,,,
74131,,LSO,Ecom,2400,,,,,,,
74132,,LSO,Ecom,2400,,,,,,,
74133,,LSO,Ecom,2400,,,,,,,
74134,,LSO,Ecom,2400,,,,,,,
74135,,LSO,Ecom,2400,,,,,,,
74136,,LSO,Ecom,2400,,,,,,,
74137,,LSO,Ecom,2400,,,,,,,
74141,,LSO,Ground,2400,,,,,,,
74145,,LSO,Ecom,2400,,,,,,,
74146,,LSO,Ecom,2400,,,,,,,
74147,,LSO,Ground,2400,,,,,,,
74148,,LSO,Ground,2400,,,,,,,
74149,,LSO,Ground,2400,,,,,,,
74150,,LSO,Ground,2400,,,,,,,
74152,,LSO,Ground,2400,,,,,,,
74153,,LSO,Ground,2400,,,,,,,
74155,,LSO,Ground,2400,,,,,,,
74156,,LSO,Ground,2400,,,,,,,
74157,,LSO,Ground,2400,,,,,,,
74158,,LSO,Ground,2400,,,,,,,
74159,,LSO,Ground,2400,,,,,,,
74169,,LSO,Ground,2400,,,,,,,
74170,,LSO,Ground,2400,,,,,,,
74171,,LSO,Ground,2400,,,,,,,
74172,,LSO,Ground,2400,,,,,,,
74182,,LSO,Ground,2400,,,,,,,
